(eval):3: command not found: setsid
[2026-05-31T15:35:30-07:00] iter=1 delta=+0 closed=1340 open=708 rc=0 retries=0
[2026-05-31T20:27:56-07:00] iter=569 delta=+3 closed=1360 open=687 rc=0 retries=0
[2026-05-31T20:50:48-07:00] iter=570 delta=+2 closed=1362 open=684 rc=0 retries=0
[2026-05-31T21:04:55-07:00] iter=571 delta=+2 closed=1364 open=682 rc=0 retries=0
[2026-05-31T21:18:32-07:00] iter=572 delta=+1 closed=1365 open=680 rc=0 retries=0
[2026-05-31T22:05:17-07:00] iter=573 delta=+5 closed=1370 open=675 rc=0 retries=0
[2026-05-31T22:24:57-07:00] iter=574 delta=+1 closed=1371 open=674 rc=0 retries=0
[2026-05-31T22:37:04-07:00] iter=575 delta=+2 closed=1373 open=672 rc=0 retries=0
[2026-05-31T22:55:26-07:00] iter=576 delta=+2 closed=1375 open=670 rc=0 retries=0
[2026-05-31T23:15:16-07:00] iter=577 delta=+3 closed=1378 open=665 rc=0 retries=0
[2026-05-31T23:20:01-07:00] iter=578 delta=+1 closed=1379 open=664 rc=0 retries=0
[2026-05-31T23:29:40-07:00] iter=579 delta=+2 closed=1381 open=662 rc=0 retries=0
[2026-05-31T23:46:59-07:00] iter=580 delta=+2 closed=1383 open=659 rc=0 retries=0
[2026-05-31T23:58:18-07:00] iter=581 delta=+3 closed=1386 open=656 rc=0 retries=0
[2026-06-01T00:06:13-07:00] iter=582 delta=+4 closed=1390 open=652 rc=0 retries=0
[2026-06-01T00:20:01-07:00] iter=583 delta=+2 closed=1392 open=650 rc=0 retries=0
[2026-06-01T00:28:45-07:00] iter=584 delta=+2 closed=1394 open=648 rc=0 retries=0
[2026-06-01T00:43:40-07:00] iter=585 delta=+3 closed=1397 open=645 rc=0 retries=0
[2026-06-01T00:54:19-07:00] iter=586 delta=+2 closed=1399 open=642 rc=0 retries=0
[2026-06-01T01:01:25-07:00] iter=587 delta=+1 closed=1400 open=641 rc=0 retries=0
[2026-06-01T01:16:53-07:00] iter=1 delta=+4 closed=1404 open=637 rc=0 retries=0
[2026-06-01T01:32:09-07:00] iter=2 delta=+2 closed=1406 open=635 rc=0 retries=0
[2026-06-01T02:05:58-07:00] iter=3 delta=+2 closed=1408 open=633 rc=0 retries=0
[2026-06-01T03:47:53-07:00] iter=4 delta=+2 closed=1410 open=631 rc=0 retries=2
[2026-06-01T07:01:49-07:00] iter=5 delta=+2 closed=1412 open=629 rc=0 retries=1
[2026-06-01T07:33:49-07:00] iter=6 delta=+2 closed=1414 open=626 rc=0 retries=0
[2026-06-01T07:54:46-07:00] iter=7 delta=+3 closed=1417 open=623 rc=0 retries=0
[2026-06-01T09:21:00-07:00] iter=8 delta=+4 closed=1421 open=619 rc=0 retries=0
[2026-06-01T10:14:30-07:00] iter=9 delta=+2 closed=1423 open=617 rc=0 retries=0
[2026-06-01T10:36:10-07:00] iter=10 delta=+5 closed=1428 open=612 rc=0 retries=0
[2026-06-01T10:57:27-07:00] iter=11 delta=+2 closed=1430 open=610 rc=0 retries=0
[2026-06-01T11:14:47-07:00] iter=12 delta=+2 closed=1432 open=608 rc=0 retries=0
